id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012,num_establishments_2007,value_x1000_2007,payroll_x1000_2007,num_employees_2007,num_establishments_2002,value_x1000_2002,payroll_x1000_2002,num_employees_2002
1,21,"Mining, quarrying, and oil and gas extraction",51,83874,14671,701,51,83874,14671,701,47,127640,22016,955,44,107000,18834,949
2,212,Mining (except oil and gas),51,83874,14671,701,47,83148,14590,694,43,125492,21497,930,42,n/d,n/d,n/d
3,22,Utilities,51,83874,14671,701,23,n/d,n/d,n/d,19,640987,16550,335,18,369932,21040,503
4,221,Utilities,51,83874,14671,701,23,n/d,n/d,n/d,19,640987,16550,335,18,369932,21040,503
5,2212,Natural gas distribution,51,83874,14671,701,2,n/d,n/d,n/d,6,6841,796,47,3,1245,158,16
6,2213,"Water, sewage and other systems",51,83874,14671,701,14,4946,1461,59,10,16990,3163,86,11,n/d,n/d,n/d
7,22131,Water supply and irrigation systems,51,83874,14671,701,10,2551,437,28,7,12425,2347,60,n/d,n/d,n/d,n/d
8,23,Construction,51,83874,14671,701,1923,3846704,645262,36814,2826,6404812,997603,58527,2683,5743245,1009747,67288
9,236,Construction of buildings,51,83874,14671,701,815,1843119,306393,19090,1405,3887092,525352,31894,1209,3045244,475162,31891
10,2361,Residential building construction,51,83874,14671,701,521,759002,121798,8674,995,2356200,307661,19241,924,1893283,253291,18661
11,2362,Nonresidential building construction,51,83874,14671,701,294,1084117,184594,10416,410,1530892,217692,12653,285,1151961,221871,13230
12,23621,Industrial building construction,51,83874,14671,701,53,200195,50713,2567,89,629127,94075,4476,66,n/d,n/d,n/d
13,23622,Commercial and institutional building construction,51,83874,14671,701,241,883921,133882,7849,321,901765,123617,8177,219,n/d,n/d,n/d
14,237,Heavy and civil engineering construction,51,83874,14671,701,203,721452,102347,5033,283,754119,118055,6534,291,1001049,165408,10802
15,2371,Utility system construction,51,83874,14671,701,60,74916,16943,663,75,145197,23713,1131,49,250137,46228,2724
16,23711,Water and sewer line and related structures construction,51,83874,14671,701,38,63555,14238,565,39,62249,11652,666,27,n/d,n/d,n/d
17,23713,Power and communication line and related structures construction,51,83874,14671,701,22,11360,2706,99,35,82448,11900,462,21,n/d,n/d,n/d
18,2372,Land subdivision,51,83874,14671,701,35,25727,3781,229,65,80047,10491,559,74,160401,14610,918
19,2373,"Highway, street, and bridge construction",51,83874,14671,701,80,581049,71967,3599,119,499197,78260,4509,123,371943,70153,4896
20,2379,Other heavy and civil engineering construction,51,83874,14671,701,28,39759,9655,542,24,29678,5591,335,45,218568,34417,2264
21,238,Specialty trade contractors,51,83874,14671,701,905,1282132,236522,12691,1138,1763601,354196,20099,1183,1696952,369177,24595
22,2381,"Foundation, structure, and building exterior contractors",51,83874,14671,701,223,347551,47444,3455,211,316722,61327,3832,278,n/d,n/d,n/d
23,23811,Poured concrete foundation and structure contractors,51,83874,14671,701,91,190312,27396,2296,52,138622,28255,1676,72,225170,48294,3866
24,23812,Structural steel and precast concrete contractors,51,83874,14671,701,24,28694,3949,170,34,47593,6990,375,45,n/d,n/d,n/d
25,23813,Framing contractors,51,83874,14671,701,1,n/d,n/d,n/d,6,2068,554,39,15,n/d,n/d,n/d
26,23814,Masonry contractors,51,83874,14671,701,10,12998,1391,84,19,25256,4536,327,29,23887,3760,358
27,23815,Glass and glazing contractors,51,83874,14671,701,14,8307,1491,104,11,6644,1334,97,14,n/d,n/d,n/d
28,23816,Roofing contractors,51,83874,14671,701,67,90599,10344,635,72,67639,11458,828,91,n/d,n/d,n/d
29,23819,"Other foundation, structure, and building exterior contractors",51,83874,14671,701,15,16344,2845,164,15,19338,5252,338,11,n/d,n/d,n/d
30,2382,Building equipment contractors,51,83874,14671,701,496,768738,155618,7169,657,1112220,239052,12876,617,938529,214504,13271
31,23821,Electrical contractors and other wiring installation contractors,51,83874,14671,701,274,376130,97374,4557,383,673620,152560,7936,380,582644,139680,8831
32,23822,"Plumbing, heating, and air-conditioning contractors",51,83874,14671,701,183,319427,40214,2139,235,376520,73022,4308,217,n/d,n/d,n/d
33,23829,Other building equipment contractors,51,83874,14671,701,39,73180,18029,472,39,62079,13471,630,20,n/d,n/d,n/d
34,2383,Building finishing contractors,51,83874,14671,701,125,80943,19007,1368,158,132948,22455,1549,177,161513,28523,2173
35,23831,Drywall and insulation contractors,51,83874,14671,701,28,28602,6985,571,36,51639,6860,464,48,79263,14918,910
36,23832,Painting and wall covering contractors,51,83874,14671,701,39,23010,5740,442,53,29447,7408,588,72,45550,8156,889
37,23833,Flooring contractors,51,83874,14671,701,12,2945,1336,71,13,11669,2416,122,13,n/d,n/d,n/d
38,23834,Tile and terrazzo contractors,51,83874,14671,701,8,4660,1479,79,16,19687,1988,103,18,17507,2259,157
39,23835,Finish carpentry contractors,51,83874,14671,701,25,4884,1248,90,28,13211,2233,164,19,n/d,n/d,n/d
40,23839,Other building finishing contractors,51,83874,14671,701,13,16841,2219,116,12,7295,1552,108,7,n/d,n/d,n/d
41,2389,Other specialty trade contractors,51,83874,14671,701,61,84901,14453,699,112,201711,31361,1842,111,n/d,n/d,n/d
42,23891,Site preparation contractors,51,83874,14671,701,35,69075,9663,405,61,141736,19489,1030,55,n/d,n/d,n/d
43,23899,All other specialty trade contractors,51,83874,14671,701,26,15825,4790,295,51,59975,11871,812,56,n/d,n/d,n/d
44,31-33,Manufacturing,51,83874,14671,701,1653,76575043,2874752,83830,2151,80172049,3453392,110691,2195,58580060,3130631,126707
45,311,Food manufacturing,51,83874,14671,701,368,6184530,261369,10218,394,2994957,218946,10760,446,4883924,230955,14509
46,3111,Animal food manufacturing,51,83874,14671,701,9,168449,6642,240,12,160813,8608,364,13,133326,8507,587
47,3112,Grain and oilseed milling,51,83874,14671,701,4,133676,8204,190,6,335993,9348,325,5,n/d,n/d,n/d
48,3113,Sugar and confectionery product manufacturing,51,83874,14671,701,22,97156,5909,283,26,86412,7669,409,27,200648,23395,1143
49,31133,Confectionery manufacturing from purchased chocolate,51,83874,14671,701,n/d,n/d,n/d,n/d,4,6604,890,111,6,n/d,n/d,n/d
50,31134,Nonchocolate confectionery manufacturing,51,83874,14671,701,15,29701,3660,165,16,33032,4893,207,16,181049,20416,811
51,3114,Fruit and vegetable preserving and specialty food manufacturing,51,83874,14671,701,9,137841,11200,394,18,154961,13365,656,31,248249,25594,1638
52,31141,Frozen food manufacturing,51,83874,14671,701,8,81157,3845,238,13,83965,6030,417,14,28365,4200,381
53,3115,Dairy product manufacturing,51,83874,14671,701,21,487338,50003,1783,24,431975,43534,1484,17,n/d,n/d,n/d
54,31151,Dairy product (except frozen) manufacturing,51,83874,14671,701,13,483079,49129,1735,15,428199,42936,1419,6,n/d,n/d,n/d
55,31152,Ice cream and frozen dessert manufacturing,51,83874,14671,701,8,4259,874,47,9,3776,597,65,11,6727,977,134
56,3116,Animal slaughtering and processing,51,83874,14671,701,9,161860,12558,564,9,165983,16760,888,20,163475,23375,1385
57,3118,Bakeries and tortilla manufacturing,51,83874,14671,701,226,338803,68891,4090,238,290898,70971,4546,273,335678,47697,4988
58,31181,Bread and bakery product manufacturing,51,83874,14671,701,211,268614,57721,3526,220,232287,56981,3765,260,279819,34112,3893
59,31182,"Cookie, cracker, and pasta manufacturing",51,83874,14671,701,12,68115,10731,511,15,46447,10723,556,11,n/d,n/d,n/d
60,3119,Other food manufacturing,51,83874,14671,701,66,4586581,93683,2493,60,1244362,43710,1741,58,3333890,56028,2423
61,31191,Snack food manufacturing,51,83874,14671,701,3,n/d,n/d,n/d,5,35769,1388,47,2,n/d,n/d,n/d
62,31192,Coffee and tea manufacturing,51,83874,14671,701,4,n/d,n/d,n/d,11,116292,4154,232,11,86725,6100,398
63,31194,Seasoning and dressing manufacturing,51,83874,14671,701,8,12027,707,53,8,31471,1750,115,9,11933,1151,78
64,31199,All other food manufacturing,51,83874,14671,701,45,447951,34663,1460,30,189419,16267,892,28,n/d,n/d,n/d
65,312,Beverage and tobacco product manufacturing,51,83874,14671,701,66,815676,87908,2789,76,3826463,141622,4495,57,1547995,102833,3859
66,3121,Beverage manufacturing,51,83874,14671,701,63,695174,66353,2020,72,3556055,98935,2878,51,1235303,66255,2375
67,31211,Soft drink and ice manufacturing,51,83874,14671,701,50,411755,27054,1306,63,3132026,57729,2016,44,n/d,n/d,n/d
68,313,Textile mills,51,83874,14671,701,4,1898,271,25,8,1845,214,16,8,4946,737,61
69,3132,Fabric mills,51,83874,14671,701,3,1072,n/d,n/d,6,1134,175,n/d,4,n/d,n/d,n/d
70,314,Textile product mills,51,83874,14671,701,41,94789,19425,1144,46,36217,7495,556,46,93872,21858,1782
71,3141,Textile furnishings mills,51,83874,14671,701,21,19264,4202,305,26,14283,3627,273,27,66276,13875,1196
72,31411,Carpet and rug mills,51,83874,14671,701,3,4268,1058,n/d,4,4914,1605,82,4,5580,2579,138
73,31412,Curtain and linen mills,51,83874,14671,701,18,14997,3144,251,22,9368,2022,192,23,60696,11296,1058
74,3149,Other textile product mills,51,83874,14671,701,20,75524,15222,839,20,21934,3867,282,19,27596,7983,586
75,31491,Textile bag and canvas mills,51,83874,14671,701,5,13460,1237,63,6,3328,1014,73,5,10597,2953,230
76,31499,All other textile product mills,51,83874,14671,701,15,62064,13986,777,14,18606,2853,209,14,16999,5030,356
77,315,Apparel manufacturing,51,83874,14671,701,73,825807,137786,9172,106,693673,112205,8340,122,725181,161743,9731
78,3151,Apparel knitting mills,51,83874,14671,701,6,4665,1924,68,6,3354,1450,79,1,n/d,n/d,n/d
79,31519,Other apparel knitting mills,51,83874,14671,701,6,4665,1924,68,6,3354,1450,79,1,n/d,n/d,n/d
80,3152,Cut and sew apparel manufacturing,51,83874,14671,701,64,715609,101140,6934,96,647108,101184,7608,113,n/d,n/d,n/d
81,31521,Cut and sew apparel contractors,51,83874,14671,701,24,287765,44953,2864,26,216066,37792,2828,21,62289,14472,824
82,31522,Men's and boys' cut and sew apparel manufacturing,51,83874,14671,701,19,323376,42107,3133,24,226573,26045,1905,21,n/d,n/d,n/d
83,31523,Women's and girls' cut and sew apparel manufacturing,51,83874,14671,701,n/d,n/d,n/d,n/d,24,119425,14813,1110,46,436216,95646,4233
84,31529,Other cut and sew apparel manufacturing,51,83874,14671,701,n/d,n/d,n/d,n/d,22,85044,22534,1765,25,79632,16251,1569
85,316,Leather and allied product manufacturing,51,83874,14671,701,8,87034,16981,1302,9,60093,14222,982,12,186154,24045,1472
86,3162,Footwear manufacturing,51,83874,14671,701,5,84599,15868,1229,5,50834,11023,849,7,n/d,n/d,n/d
87,3169,Other leather and allied product manufacturing,51,83874,14671,701,3,2434,1112,72,4,9259,3199,133,4,n/d,n/d,n/d
88,321,Wood product manufacturing,51,83874,14671,701,60,98703,12983,670,70,102842,10955,686,74,166921,20127,1502
