id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012
1,21,"Mining, quarrying, and oil and gas extraction",39,42785,8777,482,51,83874,14671,701
2,212,Mining (except oil and gas),36,42250,8662,479,47,83148,14590,694
3,2123,Nonmetallic mineral mining and quarrying,36,42250,8662,479,n/d,n/d,n/d,n/d
4,21231,Stone mining and quarrying,4,1110,259,17,n/d,n/d,n/d,n/d
5,21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",32,41139,8402,462,n/d,n/d,n/d,n/d
6,213,Support activities for mining,3,535,116,2,n/d,n/d,n/d,n/d
7,2131,Support activities for mining,3,535,116,2,n/d,n/d,n/d,n/d
8,21311,Support activities for mining,3,535,116,2,n/d,n/d,n/d,n/d
9,22,Utilities,34,626611,21840,350,23,n/d,n/d,n/d
10,221,Utilities,34,626611,21840,350,23,n/d,n/d,n/d
11,2211,"Electric power generation, transmission and distribution",12,n/d,n/d,n/d,n/d,n/d,n/d,n/d
12,22111,Electric power generation,8,n/d,n/d,n/d,n/d,n/d,n/d,n/d
13,22112,"Electric power transmission, control, and distribution",4,4901,608,25,n/d,n/d,n/d,n/d
14,2212,Natural gas distribution,6,8958,1493,32,2,n/d,n/d,n/d
15,22121,Natural gas distribution,6,8958,1493,32,n/d,n/d,n/d,n/d
16,2213,"Water, sewage and other systems",16,14725,1936,63,14,4946,1461,59
17,22131,Water supply and irrigation systems,13,10186,1233,48,10,2551,437,28
18,22132,Sewage treatment facilities,3,n/d,n/d,n/d,n/d,n/d,n/d,n/d
19,23,Construction,1703,2363926,450349,20215,1923,3846704,645262,36814
20,236,Construction of buildings,704,1042278,178004,8751,815,1843119,306393,19090
21,2361,Residential building construction,407,380547,68368,3671,521,759002,121798,8674
22,23611,Residential building construction,407,380547,68368,3671,n/d,n/d,n/d,n/d
23,2362,Nonresidential building construction,297,661731,109637,5081,294,1084117,184594,10416
24,23621,Industrial building construction,66,237489,43175,1742,53,200195,50713,2567
25,23622,Commercial and institutional building construction,231,424242,66461,3338,241,883921,133882,7849
26,237,Heavy and civil engineering construction,187,451378,77807,3189,203,721452,102347,5033
27,2371,Utility system construction,66,174914,24702,665,60,74916,16943,663
28,23711,Water and sewer line and related structures construction,36,39202,6858,332,38,63555,14238,565
29,23713,Power and communication line and related structures construction,28,135164,17620,331,22,11360,2706,99
30,2372,Land subdivision,28,15883,2372,145,35,25727,3781,229
31,23721,Land subdivision,28,15883,2372,145,n/d,n/d,n/d,n/d
32,2373,"Highway, street, and bridge construction",60,217054,41933,2022,80,581049,71967,3599
33,23731,"Highway, street, and bridge construction",60,217054,41933,2022,n/d,n/d,n/d,n/d
34,2379,Other heavy and civil engineering construction,33,43525,8799,357,28,39759,9655,542
35,23799,Other heavy and civil engineering construction,33,43525,8799,357,n/d,n/d,n/d,n/d
36,238,Specialty trade contractors,812,870272,194536,8274,905,1282132,236522,12691
37,2381,"Foundation, structure, and building exterior contractors",199,148037,25153,1512,223,347551,47444,3455
38,23811,Poured concrete foundation and structure contractors,66,57283,7955,538,91,190312,27396,2296
39,23812,Structural steel and precast concrete contractors,18,11735,2304,129,24,28694,3949,170
40,23813,Framing contractors,n/d,n/d,n/d,n/d,1,n/d,n/d,n/d
41,23814,Masonry contractors,8,5283,979,86,10,12998,1391,84
42,23815,Glass and glazing contractors,8,3835,835,41,14,8307,1491,104
43,23816,Roofing contractors,81,61577,10886,606,67,90599,10344,635
44,23819,"Other foundation, structure, and building exterior contractors",16,7994,2165,103,15,16344,2845,164
45,2382,Building equipment contractors,448,566098,132056,4935,496,768738,155618,7169
46,23821,Electrical contractors and other wiring installation contractors,243,413516,88113,3207,274,376130,97374,4557
47,23822,"Plumbing, heating, and air-conditioning contractors",168,108135,29361,1389,183,319427,40214,2139
48,23829,Other building equipment contractors,37,44447,14582,340,39,73180,18029,472
49,2383,Building finishing contractors,99,62522,16367,950,125,80943,19007,1368
50,23831,Drywall and insulation contractors,18,21203,5642,335,28,28602,6985,571
51,23832,Painting and wall covering contractors,32,13146,4858,314,39,23010,5740,442
52,23833,Flooring contractors,9,2186,648,38,12,2945,1336,71
53,23834,Tile and terrazzo contractors,9,8108,1610,85,8,4660,1479,79
54,23835,Finish carpentry contractors,15,3814,1152,53,25,4884,1248,90
55,23839,Other building finishing contractors,16,14066,2458,126,13,16841,2219,116
56,2389,Other specialty trade contractors,66,93614,20960,877,61,84901,14453,699
57,23891,Site preparation contractors,35,36260,5768,309,35,69075,9663,405
58,23899,All other specialty trade contractors,31,57354,15192,567,26,15825,4790,295
59,31-33,Manufacturing,1739,85263498,2854815,77005,1653,76575043,2874752,83830
60,311,Food manufacturing,528,2311623,245586,11223,368,6184530,261369,10218
61,3111,Animal food manufacturing,13,80755,8728,273,9,168449,6642,240
62,31111,Animal food manufacturing,13,80755,8728,273,n/d,n/d,n/d,n/d
63,3112,Grain and oilseed milling,n/d,n/d,n/d,n/d,4,133676,8204,190
64,3113,Sugar and confectionery product manufacturing,40,24413,4332,352,22,97156,5909,283
65,31131,Sugar manufacturing,10,7406,1355,131,n/d,n/d,n/d,n/d
66,31134,Nonchocolate confectionery manufacturing,28,16509,2886,214,15,29701,3660,165
67,3114,Fruit and vegetable preserving and specialty food manufacturing,13,158705,13928,556,9,137841,11200,394
68,31141,Frozen food manufacturing,8,55658,8336,401,8,81157,3845,238
69,31142,"Fruit and vegetable canning, pickling, and drying",5,n/d,n/d,n/d,n/d,n/d,n/d,n/d
70,3115,Dairy product manufacturing,16,n/d,n/d,n/d,21,487338,50003,1783
71,31151,Dairy product (except frozen) manufacturing,10,n/d,n/d,n/d,13,483079,49129,1735
72,31152,Ice cream and frozen dessert manufacturing,6,1946,359,31,8,4259,874,47
73,3116,Animal slaughtering and processing,9,89027,11973,607,9,161860,12558,564
74,31161,Animal slaughtering and processing,9,89027,11973,607,n/d,n/d,n/d,n/d
75,3118,Bakeries and tortilla manufacturing,367,475038,106540,6316,226,338803,68891,4090
76,31181,Bread and bakery product manufacturing,351,418630,95928,5859,211,268614,57721,3526
77,31182,"Cookie, cracker, and pasta manufacturing",11,54082,9995,411,12,68115,10731,511
78,31183,Tortilla manufacturing,5,2327,619,48,n/d,n/d,n/d,n/d
79,3119,Other food manufacturing,68,1143133,63490,1997,66,4586581,93683,2493
80,31191,Snack food manufacturing,5,n/d,n/d,n/d,3,n/d,n/d,n/d
81,31192,Coffee and tea manufacturing,7,93737,6099,247,4,n/d,n/d,n/d
82,31193,Flavoring syrup and concentrate manufacturing,5,n/d,n/d,n/d,n/d,n/d,n/d,n/d
83,31194,Seasoning and dressing manufacturing,6,3189,457,30,8,12027,707,53
84,31199,All other food manufacturing,45,194428,18052,975,45,447951,34663,1460
85,312,Beverage and tobacco product manufacturing,74,3766085,96022,2644,66,815676,87908,2789
86,3121,Beverage manufacturing,71,3647960,87190,2294,63,695174,66353,2020
87,31211,Soft drink and ice manufacturing,56,3246385,50430,1502,50,411755,27054,1306
88,31212,Breweries,3,n/d,n/d,n/d,n/d,n/d,n/d,n/d
89,31213,Wineries,6,17016,2081,106,n/d,n/d,n/d,n/d
90,31214,Distilleries,6,195534,21908,428,n/d,n/d,n/d,n/d
